CO_MAIN,CO_AUX,NO2_MAIN,NO2_AUX,GAS_TEMP,MICS_CO,MICS_NO2,MICS_HN3
176,411,233,212,259,1214,1341,1718
181,419,237,209,260,1210,1348,1718
182,422,240,210,259,1203,1358,1716
178,426,233,210,259,1198,1364,1718
180,437,234,208,259,1193,1373,1718
181,441,235,210,259,1187,1383,1718
181,446,235,211,259,1180,1393,1719
181,452,231,211,259,1171,1404,1716
181,458,235,212,259,1163,1415,1718
179,461,231,208,259,1156,1427,1719
181,469,234,215,259,1146,1438,1718
178,471,233,210,259,1138,1451,1719
180,478,231,210,259,1128,1467,1717
180,484,232,214,259,1119,1482,1717
178,488,234,219,259,1111,1497,1717
181,496,232,210,259,1104,1515,1719
184,502,239,216,259,1097,1533,1716
186,508,234,218,259,1087,1549,1716
181,512,234,214,259,1084,1564,1718
183,518,231,215,259,1078,1584,1718
184,525,232,214,259,1072,1602,1719
190,533,232,219,259,1066,1623,1716
189,536,233,221,259,1058,1642,1716
185,538,234,218,259,1056,1661,1720
187,546,235,218,259,1051,1683,1719
185,550,234,218,259,1048,1705,1719
189,555,232,221,259,1042,1726,1716
193,563,233,218,259,1036,1745,1717
188,567,235,219,259,1037,1767,1719
189,575,235,221,259,1033,1791,1719
192,582,230,218,259,1027,1816,1717
189,587,233,217,259,1025,1840,1719
195,596,230,218,259,1019,1864,1717
193,600,232,216,259,1016,1889,1719
188,603,234,215,260,1013,1913,1720
193,608,231,222,259,1006,1941,1717
189,612,231,218,259,1004,1964,1718
195,621,234,222,259,998,1994,1718
195,626,237,218,259,998,2023,1717
193,634,236,218,259,992,2048,1718
189,639,233,219,259,989,2075,1719
192,647,235,224,259,985,2103,1717
195,653,235,226,259,981,2129,1716
191,658,235,224,259,980,2156,1719
197,668,239,226,259,976,2186,1718
195,675,239,225,259,973,2212,1718
194,678,236,220,259,969,2236,1719
192,685,230,222,259,967,2265,1719
193,692,234,223,259,964,2289,1719
197,702,235,219,259,961,2317,1718
197,709,235,224,259,957,2342,1719
194,716,235,223,259,955,2365,1719
199,725,238,224,259,954,2387,1719
197,733,231,223,259,949,2410,1717
200,745,232,224,259,948,2432,1717
197,755,235,228,259,948,2448,1719
197,763,239,224,259,944,2474,1718
199,775,237,225,259,941,2493,1719
202,786,235,230,259,941,2513,1719
201,799,231,226,264,938,2530,1716
202,809,233,229,259,937,2549,1719
201,820,232,227,259,936,2563,1719
204,832,238,229,259,932,2582,1719
201,845,234,229,259,931,2596,1720
205,859,233,230,259,927,2614,1718
202,874,232,228,259,928,2629,1720
201,887,233,230,259,925,2642,1719
203,899,232,230,259,922,2655,1720
205,915,231,230,259,921,2667,1721
210,932,237,235,259,919,2681,1717
211,946,234,227,259,915,2696,1718
214,961,233,233,259,915,2706,1717
207,978,230,230,259,914,2719,1719
215,993,229,233,259,910,2728,1717
214,1005,235,235,259,909,2745,1719
214,1023,235,234,259,903,2753,1718
219,1041,237,239,259,903,2766,1718
218,1058,237,238,259,900,2777,1718
216,1073,232,239,259,898,2787,1719
215,1090,233,243,259,896,2800,1720
222,1109,235,243,259,892,2812,1719
220,1126,237,243,259,890,2823,1719
225,1143,236,242,259,887,2834,1719
220,1155,235,240,259,886,2843,1719
222,1173,235,242,259,882,2855,1718
226,1190,232,241,259,879,2865,1718
225,1205,232,238,259,879,2875,1718
226,1223,230,240,259,877,2881,1719
229,1244,236,241,259,874,2891,1719
226,1260,230,241,259,871,2901,1719
230,1279,228,243,259,870,2910,1719
230,1297,232,244,259,868,2918,1719
232,1314,235,245,259,867,2927,1718
229,1328,230,247,259,864,2934,1718
230,1345,230,249,259,861,2941,1720
235,1361,236,251,259,861,2949,1719
234,1380,237,251,259,860,2956,1719
234,1396,230,249,259,858,2962,1716
